InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,Objective,isOptimal,NBNodes,InstancePath
instance0_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0714534,300,0,1,0,nan
instance1_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0582487,300,0,1,0,nan
instance2_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0566773,300,0,1,0,nan
instance3_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0939293,300,0,1,0,nan
instance4_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0763437,300,0,1,0,nan
instance5_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0753105,300,0,1,0,nan
instance6_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0625012,300,0,1,0,nan
instance7_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0548761,300,0,1,0,nan
instance8_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0576656,300,0,1,0,nan
instance9_n_10_N_40_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.092207,300,0,1,0,nan
instance0_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0982157,300,0,1,0,nan
instance1_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.048055,300,0,1,0,nan
instance2_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0716203,300,0,1,0,nan
instance3_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0583554,300,0,1,0,nan
instance4_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0602566,300,0,1,0,nan
instance5_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.063912,300,0,1,0,nan
instance6_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0573087,300,0,1,0,nan
instance7_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0624453,300,0,1,0,nan
instance8_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0579382,300,0,1,0,nan
instance9_n_10_N_40_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0988105,300,0,1,0,nan
instance0_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0671582,300,0,1,0,nan
instance1_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0790223,300,0,1,0,nan
instance2_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0768884,300,0,1,0,nan
instance3_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0581369,300,0,1,0,nan
instance4_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0571696,300,0,1,0,nan
instance5_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0581963,300,0,1,0,nan
instance6_n_10_N_40_tf_0.2_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0632104,300,0,1,0,nan
